排名,标题,网址,播放数,硬币数,作者
1,【老番茄】史上最骚公鹿,https://www.bilibili.com/video/BV1eT4y137cc,416.6万,6.3万,老番茄
2,谁是内鬼挑战！,https://www.bilibili.com/video/BV1me411p7tb,208.4万,4.7万,中国BOY超级大猩猩
3,【盘点】推理已死？那些硬核烧脑的推理神作TOP10,https://www.bilibili.com/video/BV1xC4y1W7qd,89.8万,2886,看不见的罗杰
4,LOL最强王八剑法 一个没人敢靠近你的套路[有点骚东西],https://www.bilibili.com/video/BV1ut4y117KU,171.8万,1.2万,上海滩许Van强
5,如何在B站自学绘画！！！20200506直播录屏,https://www.bilibili.com/video/BV1i541147XD,27.8万,1422,彦弛不是彦驰
6,【醒醒】中华儿女该起床了,https://www.bilibili.com/video/BV1m54y1Q7eQ,52.8万,7524,冈部伦太郎·
7,童年阴影！盘点柯南十大吓人案件！,https://www.bilibili.com/video/BV1h541147QN,196.0万,3.1万,LexBurner
8,我用人工智能修复了100年前的北京影像!!【1920年】【60FPS彩色】【大谷纽约实验室】,https://www.bilibili.com/video/BV1dQ4y1N73A,130.6万,1.4万,大谷的游戏创作小屋
9,如果罗志祥的金曲是RAP,https://www.bilibili.com/video/BV1tz411q7b9,98.2万,9138,老坛胡说
10,一粒小麦竟能拉出缕缕金丝！耗时7天做出小时候最爱的麦芽糖~,https://www.bilibili.com/video/BV1PC4y1s73L,89.7万,6897,二喵的饭
11,满级大佬屠杀新手村,https://www.bilibili.com/video/BV1LJ411W7Bo,147.3万,3500,Ueroey
12,【 来 了 】威 风 钉 钉,https://www.bilibili.com/video/BV1xA411t7FE,93.8万,1.8万,钉钉DingTalk
13,父母为什么永远看不到自己在学习？,https://www.bilibili.com/video/BV1G54y1X74Z,93.6万,3989,V橘君
14,主席，我们想您了,https://www.bilibili.com/video/BV14z411q7yv,73.8万,0,鸿桃仔
15,骁话一下：大英帝国，对冲国运，猛男荷官鲍里斯在线发牌,https://www.bilibili.com/video/BV1Mk4y1k7QB,158.0万,3.3万,观察者网
16,花2天炖8块肉，进来感受下什么叫放纵！,https://www.bilibili.com/video/BV1zQ4y1N7Bm,126.7万,6614,绵羊料理
17,史上最难！BUG最多的“走路”游戏！建议改名：升天模拟器。,https://www.bilibili.com/video/BV1QK41157Hb,108.1万,4.9万,东尼ookii
18,bilibili献给新一代的演讲《后浪》,https://www.bilibili.com/video/BV1FV411d7u7,80.6万,1.1万,哔哩哔哩弹幕网
19,我们猛男都这么约会,https://www.bilibili.com/video/BV1LK411W735,231.4万,4.7万,凉风Kaze
20,up主因害怕脱发 选择直接光头！绝无PS！,https://www.bilibili.com/video/BV1Ei4y1b7LQ,134.2万,3.4万,啊吗粽
21,【半佛】如何从130斤胖到200斤，还断了一条胳膊。,https://www.bilibili.com/video/BV1sf4y1m7og,119.8万,1.8万,硬核的半佛仙人
22,16384倍分辨率材质包！|风扇冒烟系列！你还能分得清虚拟与现实吗？,https://www.bilibili.com/video/BV1Mt4y117ow,68.1万,3601,游汐_YX
23,【Chimera君】下海的男人（像素游戏风短剧）,https://www.bilibili.com/video/BV1Qe411p7H2,63.6万,4875,Chimera君
24,【红石音乐】稻香  愣着干嘛？来白嫖啊！,https://www.bilibili.com/video/BV1yi4y1x7dn,37.2万,4868,-六氟化氙-
25,【何同学】我用一万行备忘录做了个动画...,https://www.bilibili.com/video/BV1Xi4y1x7eM,78.7万,4418,老师好我叫何同学
26,谋 权 篡 位 3,https://www.bilibili.com/video/BV1Ff4y1U7ah,126.0万,1.2万,小潮院长
27,“请问，你还有多少青春可以挥霍”,https://www.bilibili.com/video/BV1fZ4y1W7me,44.4万,1393,Aginis
28,看完后，你就知道震撼观众30年的动画有多神了！,https://www.bilibili.com/video/BV1Ea4y1i7Xo,91.3万,2.2万,鲁过一世
29,动物世界2——世界名画,https://www.bilibili.com/video/BV1Qi4y1x7Je,57.5万,1085,风云熊
30,【官方】燃炸全场！844乐队演唱《鬼灭之刃》主题曲《红莲华》,https://www.bilibili.com/video/BV1Zg4y1q7ZK,106.2万,4392,娱乐圈圈儿
31,【散人】孙美琪疑案：郎冥其 烽火台离奇悬尸,https://www.bilibili.com/video/BV11Q4y1N7A6,34.0万,2.1万,逍遥散人
32,川普教你读China,https://www.bilibili.com/video/BV1SV411d7tS,95.4万,7070,慕风Mu
33,【王者荣耀】诸神之战,https://www.bilibili.com/video/BV1Dg4y1q7yu,71.1万,4497,竹醉十六丶
34,【卓叔】健身增肌需要戒传统手艺吗？会降低睾酮吗？【增重科普02】,https://www.bilibili.com/video/BV1Fk4y1k7Bc,56.0万,5401,卓叔增重
35,苦 苦 相 逼,https://www.bilibili.com/video/BV1tQ4y1N7hY,76.1万,2.0万,与山0v0
36,沙雕碰见了沙雕,https://www.bilibili.com/video/BV1Hz411B7Qm,147.7万,396,いじ-
37,油管上一个亿的特朗普的鬼畜,https://www.bilibili.com/video/BV1sz411z7Rn,110.7万,2083,深度研究所
38,早坂爱★A W S L,https://www.bilibili.com/video/BV15541147TF,67.7万,1836,枫谷FG
39,【7年血泪史】哪种饮食最有效?4步教你吃出好身材!,https://www.bilibili.com/video/BV19t4y1y79S,47.4万,3329,帅soserious
40,自制不养金鱼杯,https://www.bilibili.com/video/BV1mQ4y1N7Md,199.0万,1.2万,手工耿
41,隔着屏幕都能感受到这位老婆的愤怒,https://www.bilibili.com/video/BV1wK411L7RP,138.6万,4274,笑二君
42,2500元十斤帝王蟹！比中国boy脸还大！一口200块的感觉！,https://www.bilibili.com/video/BV1ck4y1k7aw,105.7万,8693,视角姬
43,亲戚让我带孩子，我却偷偷把他儿子化成了女装大佬.....,https://www.bilibili.com/video/BV1jK411W7SC,81.7万,2.3万,拉宏桑
